exp_id,experiment_name,CB,DCB,TOL,annealing_temperature,E 00,E 01,E 02,00/01,Relative Anion Signal,Bleaching %,polaron ratio,Carrier Concentration,Mobility,Sheet Resistance,conductivity,thickness
6608d077a6bd9adf4bb5f9d8,Spring24_SolvTemp_JPM_79,70,20,10,150,2.07299,2.2533,2.43455,0.8046,1.32959,0.48446,0.8234,2.68E+020,0.59794,6719,25.66,5.8E-06
6608d1405003d647417bcc34,Spring24_SolvTemp_JPM_80,80,20,0,150,2.07547,2.25623,2.42768,0.80454,1.20848,0.47096,0.76017,2.61E+020,0.57631,6731.333333,24.1,6.16E-06
6608d21d82f78f6f26b8232c,Spring24_SolvTemp_JPM_81,0,30,70,150,2.07299,2.25623,2.4277,0.81476,1.29645,0.57712,0.83728,3.59E+020,0.86837,4591.666667,49.87,4.37E-06
6608d2d2f8a43891b1226a6a,Spring24_SolvTemp_JPM_82,10,80,10,120,2.07324,2.26241,2.43487,0.78948,1.25777,0.45899,0.77304,2.55E+020,0.62888,7471.666667,25.62,5.22E-06
6608d3738342d8f8561f96e4,Spring24_SolvTemp_JPM_83,0,80,20,240,2.07989,2.26445,2.45815,0.72086,1.18452,0.38197,0.70777,1.92E+020,1.09201,10213,33.61,2.91E-06
6608d4168342d8f85635fc38,Spring24_SolvTemp_JPM_84,0,70,30,270,2.0798,2.26434,2.46154,0.70228,1.18915,0.39401,0.75671,1.96E+020,0.73656,15813.33333,23.14,2.73E-06
6608d4a15003d64741e0a8ee,Spring24_SolvTemp_JPM_85,0,100,0,180,2.07991,2.25857,2.44417,0.73115,1.18659,0.49312,0.70777,2.23E+020,0.25136,22643.33333,8.95,4.94E-06
6608d55baebabf937623fae3,Spring24_SolvTemp_JPM_86,10,70,20,90,2.07075,2.24769,2.43483,0.78773,1.32696,0.46111,0.84777,2.57E+020,0.48805,8266.333333,20.07,6.03E-06
6608d612f8a43891b17ccd63,Spring24_SolvTemp_JPM_87,10,70,20,270,2.0773,2.2643,2.46149,0.70697,1.12068,0.36529,0.70407,1.87E+020,0.85822,12240,25.69,3.18E-06
6608d6bbdc5614949313a8d8,Spring24_SolvTemp_JPM_88,20,70,10,270,2.07474,2.26126,2.46846,0.70802,1.13535,0.38988,0.72761,2E+020,0.80234,13083.33333,25.68,2.98E-06
6608d757aebabf93766de5c8,Spring24_SolvTemp_JPM_89,0,100,0,120,2.07571,2.24772,2.43487,0.7967,1.25451,0.41803,0.74351,2.26E+020,0.73223,7211.666667,26.48,5.24E-06
6608d8038342d8f856ba4b28,Spring24_SolvTemp_JPM_90,20,80,0,240,2.07987,2.26443,2.46159,0.72388,1.13754,0.37186,0.68377,1.9E+020,1.07332,9954.333333,32.65,3.08E-06
6608d8a9aebabf93769bc6f0,Spring24_SolvTemp_JPM_91,30,70,0,270,2.07471,2.26121,2.46487,0.70608,1.10249,0.35957,0.69137,1.84E+020,0.88509,13003,26.04,2.95E-06
6608d94082f78f6f268a2535,Spring24_SolvTemp_JPM_92,0,80,20,210,2.07552,2.25926,2.43461,0.73702,1.02214,0.31503,0.70693,1.58E+020,0.56773,21166.66667,14.37,3.29E-06
6608d9d082f78f6f269ab5b4,Spring24_SolvTemp_JPM_93,100,0,0,180,2.07085,2.25956,2.45935,0.76456,1.26184,0.48174,0.77068,2.68E+020,0.45863,9151.333333,19.63,5.57E-06
6608dab6dc561494937f15dd,Spring24_SolvTemp_JPM_94,10,80,10,210,2.07552,2.2622,2.43462,0.74183,1.06272,0.30213,0.7028,1.48E+020,0.77847,16100,18.45,3.37E-06
6608db5881d775fd8443e48f,Spring24_SolvTemp_JPM_95,20,80,0,210,2.07306,2.25927,2.43807,0.76292,1.11199,0.33626,0.69418,1.72E+020,0.50692,20053.33333,13.93,3.58E-06
6608dc0782f78f6f26d806ee,Spring24_SolvTemp_JPM_96,0,90,10,120,2.07571,2.25945,2.44179,0.78545,1.16485,0.46001,0.70693,2.55E+020,0.64381,7408.333333,26.23,5.15E-06
6704b9c6a5d90af508db2255,Spring24_SolvTemp_JPM_97,30,40,30,150,2.07301,2.25621,2.4345,0.76344,1.23634,0.46721,0.9144,6.87E+019,0.76138,8584,28.68,4.061666E-06
6704beb484cfffa9c7ebaefc,Spring24_SolvTemp_JPM_98,30,30,40,180,2.07486,2.25553,2.4268,0.79852,1.02608,0.62168,0.67411,1.85E+020,0.65477,10502.66667,19.34,4.923E-06
6704c40cd95e1861d656e443,Spring24_SolvTemp_JPM_99,80,0,20,150,2.07005,2.25861,2.44769,0.77318,1.192,0.73096,0.68447,2.11E+020,0.49584,9249.666667,16.77,6.4485E-06
6704c5853670825d4bb43615,Spring24_SolvTemp_JPM_100,30,30,40,120,2.0758,2.2566,2.44186,0.78496,1.07186,0.66163,0.70628,2.22E+020,0.47082,12840,16.74,4.652E-06
6704c703c3794f93ea10ff0d,Spring24_SolvTemp_JPM_101,30,70,0,150,2.07797,2.25921,2.42086,0.71568,1.07186,0.35674,0.70628,8.51E+019,0.69258,20335.66667,9.43,5.215E-06
6704c8cb8afb9cb01782309a,Spring24_SolvTemp_JPM_102,0,70,30,30,2.09339,2.26861,2.43171,0.71683,1.22965,0.34904,0.73421,1.57E+020,0.01073,527000,0.27,7.085E-06
6704c9ef2191905155aff00d,Spring24_SolvTemp_JPM_103,60,0,40,150,2.08358,2.26587,2.4252,0.66359,1.01998,0.35547,0.67486,1.26E+020,0.52474,18503.33333,10.59,5.102E-06
6704cb253670825d4bdb23e0,Spring24_SolvTemp_JPM_104,20,80,0,30,2.09339,2.26861,2.42145,0.70001,1.20454,0.1896,0.70607,1.04E+020,0.01018,915333.3333,0.17,6.345E-06
6704cc8d2191905155c13522,Spring24_SolvTemp_JPM_105,30,50,20,180,2.07984,2.25845,2.42339,0.7724,1.32546,0.5533,0.82558,2.02E+020,0.22488,22663.33333,7.27,6.0735E-06
6704cf108afb9cb017a7001d,Spring24_SolvTemp_JPM_106,30,0,70,30,2.08085,2.26857,2.45598,0.74975,1.43349,0.66246,0.88308,1.82E+020,0.27809,32986.66667,8.11,3.738E-06
6704d1b83670825d4b0b8ca1,Spring24_SolvTemp_JPM_107,0,30,70,30,2.08586,2.26857,2.442,0.7418,1.29105,0.60919,0.78814,1.16E+020,0.15247,55593.33333,2.83,6.3545E-06
6704d2c8d95e1861d6b09ec3,Spring24_SolvTemp_JPM_108,0,40,60,270,2.08484,2.26443,2.45457,0.63259,1.29425,0.49507,0.78554,8.5E+019,0.33001,52910,4.49,4.211666E-06
6704d3e832f8d61243f6ebbb,Spring24_SolvTemp_JPM_109,70,30,0,30,2.09336,2.26857,2.41461,0.7293,1.25499,0.36712,0.79153,1.12E+020,0.04231,416533.3333,0.76,3.144E-06
6704d5a92191905155ff68f6,Spring24_SolvTemp_JPM_110,50,20,30,270,2.08484,2.27036,2.43715,0.67719,1.1581,0.43369,0.73513,1.3E+020,0.33889,29936.66667,7.07,4.724E-06
